Expert,Location,Action,group.x,MS,Fire,PBFV,Bird.number,Lower,Estimate,Upper,Cost
A,Tasmania,No action + no captive population,no action,0,0,0,0,0,0,0,0
A,Tasmania,mixed release strategy,current range ,1,1,1,100,0,0.15,0.5,107322746.5
A,Tasmania,mixed release strategy,current range ,1,1,1,50,0,0.04,0.2,64653471.5
A,Tasmania,focus wild born young,current range ,2,1,1,100,0,0.2,0.5,101596046.5
A,Tasmania,focus wild born young,current range ,2,1,1,50,0,0.1,0.3,60199171.5
A,Tasmania,focus wild born young + mainland release,current range ,3,1,1,100,0,0.2,0.4,110541246.5
A,Tasmania,focus wild born young + mainland release,current range ,3,1,1,50,0,0.1,0.45,64926346.5
A,Tasmania,focus high quality young leaving,current range ,4,1,1,100,0.2,0.4,0.7,96964696.5
A,Tasmania,focus high quality young leaving,current range ,4,1,1,50,0.1,0.4,0.6,55539446.5
A,Tasmania,focus high quality young leaving + mainland release,current range ,5,1,1,100,0.25,0.5,0.8,103519496.5
A,Tasmania,focus high quality young leaving + mainland release,current range ,5,1,1,50,0.2,0.4,0.6,60304771.5
A,Tasmania,fledgling release only,current range ,6,1,1,100,0.05,0.25,0.35,99993171.5
A,Tasmania,fledgling release only,current range ,6,1,1,50,0,0.2,0.3,58459421.5
A,Tasmania,fledgling release + mainland release,current range ,7,1,1,100,0.3,0.4,0.45,108471371.5
A,Tasmania,fledgling release + mainland release,current range ,7,1,1,50,0.2,0.35,0.5,64707721.5
A,Tasmania,mixed release strategy w/out fire,current range ,8,0,1,100,0,0.05,0.1,105910100
A,Tasmania,mixed release strategy w/out fire,current range ,8,0,1,50,0,0,0.2,62855825
A,Tasmania,mixed release strategy w/out PBFV,current range ,9,1,0,100,0,0.05,0.5,93657746.5
A,Tasmania,mixed release strategy w/out PBFV,current range ,9,1,0,50,0,0.01,0.2,61953471.5
A,Tasmania,focus wild born young w/out fire,current range ,10,0,1,100,0,0.1,0.3,99798400
A,Tasmania,focus wild born young w/out fire,current range ,10,0,1,50,0,0.1,0.3,58401525
B,Tasmania,No action + no captive population,no action,0,0,0,0,0,0,0,0
B,Tasmania,mixed release strategy,current range ,1,1,1,100,0,0.2,0.4,107322746.5
B,Tasmania,mixed release strategy,current range ,1,1,1,50,0,0.1,0.2,64653471.5
B,Tasmania,focus wild born young,current range ,2,1,1,100,0,0.2,0.4,101596046.5
B,Tasmania,focus wild born young,current range ,2,1,1,50,0,0.2,0.4,60199171.5
B,Tasmania,focus wild born young + mainland release,current range ,3,1,1,100,0,0.2,0.4,110541246.5
B,Tasmania,focus wild born young + mainland release,current range ,3,1,1,50,0,0.2,0.4,64926346.5
B,Tasmania,focus high quality young leaving,current range ,4,1,1,100,0,0.2,0.4,96964696.5
B,Tasmania,focus high quality young leaving,current range ,4,1,1,50,0,0.1,0.2,55539446.5
B,Tasmania,focus high quality young leaving + mainland release,current range ,5,1,1,100,0,0.2,0.4,103519496.5
B,Tasmania,focus high quality young leaving + mainland release,current range ,5,1,1,50,0,0.1,0.2,60304771.5
B,Tasmania,fledgling release only,current range ,6,1,1,100,0,0.2,0.4,99993171.5
B,Tasmania,fledgling release only,current range ,6,1,1,50,0,0.1,0.2,58459421.5
B,Tasmania,fledgling release + mainland release,current range ,7,1,1,100,0,0.2,0.4,108471371.5
B,Tasmania,fledgling release + mainland release,current range ,7,1,1,50,0,0.1,0.2,64707721.5
B,Tasmania,mixed release strategy w/out fire,current range ,8,0,1,100,0,0.2,0.4,105910100
B,Tasmania,mixed release strategy w/out fire,current range ,8,0,1,50,0,0.1,0.2,62855825
B,Tasmania,mixed release strategy w/out PBFV,current range ,9,1,0,100,0,0.2,0.4,93657746.5
B,Tasmania,mixed release strategy w/out PBFV,current range ,9,1,0,50,0,0.1,0.2,61953471.5
B,Tasmania,focus wild born young w/out fire,current range ,10,0,1,100,0,0.2,0.4,99798400
B,Tasmania,focus wild born young w/out fire,current range ,10,0,1,50,0,0.2,0.4,58401525
C,Tasmania,No action + no captive population,no action,0,0,0,0,0,0,0,0
C,Tasmania,mixed release strategy,current range ,1,1,1,100,0.3,0.5,0.6,107322746.5
C,Tasmania,mixed release strategy,current range ,1,1,1,50,0.3,0.5,0.6,64653471.5
